Provincia;codigo_postal
Madrid;28000
Madrid;28001
Madrid;28002
Madrid;28003
Madrid;28004
Madrid;28005
Madrid;28006
Madrid;28007
Madrid;28008
Madrid;28009
Madrid;28010
Madrid;28011
Madrid;28012
Madrid;28013
Madrid;28014
Madrid;28015
Madrid;28016
Madrid;28017
Madrid;28018
Madrid;28019
Madrid;28020
Madrid;28021
Madrid;28022
Madrid;28023
Madrid;28024
Madrid;28025
Madrid;28026
Madrid;28027
Madrid;28028
Madrid;28029
Madrid;28030
Madrid;28031
Madrid;28032
Madrid;28033
Madrid;28034
Madrid;28035
Madrid;28036
Madrid;28037
Madrid;28038
Madrid;28039
Madrid;28040
Madrid;28041
Madrid;28042
Madrid;28043
Madrid;28044
Madrid;28045
Madrid;28046
Madrid;28047
Madrid;28048
Madrid;28049
Madrid;28050
Madrid;28051
Madrid;28052
Madrid;28053
Madrid;28054
Madrid;28055
Alcobendas;28100
Alcobendas;28108
Alcobendas;28109
Algete;28110
Colmenar Viejo;28120
Algete;28120
Valdeolmos-Alalpardo;28130
Fuente el Saz de Jarama;28140
Valdetorres de Jarama;28150
Talamanca de Jarama;28160
Valdepiélagos;28170
Torrelaguna;28180
Torremocha de Jarama;28189
Patones;28189
El Atazar;28189
Montejo de la Sierra;28190
Puebla de la Sierra;28190
Prádena del Rincón;28191
Horcajuelo de la Sierra;28191
La Hiruela;28191
El Berrueco;28192
Cervera de Buitrago;28193
Robledillo de la Jara;28194
Berzosa del Lozoya;28194
Puentes Viejas;28195
Puentes Viejas;28196
San Lorenzo de El Escorial;28200
Navalagamella;28210
Valdemorillo;28210
El Escorial;28211
El Escorial;28212
Navalagamella;28212
Colmenar del Arroyo;28213
Fresnedillas de la Oliva;28214
El Escorial;28219
Majadahonda;28220
Majadahonda;28221
Majadahonda;28222
Pozuelo de Alarcón;28223
Pozuelo de Alarcón;28224
Villanueva del Pardillo;28229
Las Rozas de Madrid;28231
Las Rozas de Madrid;28232
Hoyo de Manzanares;28240
Hoyo de Manzanares;28248
Galapagar;28250
Torrelodones;28250
Galapagar;28260
Galapagar;28270
Colmenarejo;28270
Colmenarejo;28279
El Escorial;28280
Las Rozas de Madrid;28290
El Escorial;28292
Galapagar;28292
Zarzalejo;28293
Robledo de Chavela;28294
Valdemaqueda;28295
Santa María de la Alameda;28296
Santa María de la Alameda;28297
Aranjuez;28300
Pinto;28320
San Martín de la Vega;28330
Valdemoro;28340
Ciempozuelos;28350
Titulcia;28359
Villaconejos;28360
Chinchón;28370
Colmenar de Oreja;28380
Belmonte de Tajo;28390
Valdelaguna;28391
Collado Villalba;28400
Galapagar;28400
Alpedrete;28409
Manzanares el Real;28410
Moralzarzal;28411
El Boalo;28412
El Boalo;28413
Galapagar;28420
Alpedrete;28430
Guadarrama;28430
Guadarrama;28440
Collado Mediano;28450
Los Molinos;28460
Manzanares el Real;28470
Cercedilla;28470
Guadarrama;28480
Becerril de la Sierra;28490
Navacerrada;28491
El Boalo;28492
Manzanares el Real;28492
Arganda del Rey;28500
Campo Real;28510
Valdilecha;28511
Villar del Olmo;28512
Nuevo Baztán;28514
Villar del Olmo;28514
Olmeda de las Fuentes;28515
Rivas-Vaciamadrid;28521
Rivas-Vaciamadrid;28522
Rivas-Vaciamadrid;28523
Rivas-Vaciamadrid;28524
Rivas-Vaciamadrid;28529
Morata de Taju?a;28530
Perales de Taju?a;28540
Tielmes;28550
Caraba?a;28560
Orusco de Taju?a;28570
Ambite;28580
Villarejo de Salvanés;28590
Valdaracete;28594
Estremera;28595
Brea de Tajo;28596
Fuentidue?a de Tajo;28597
Villamanrique de Tajo;28598
Navalcarnero;28600
El Álamo;28607
Villanueva de Perales;28609
Sevilla la Nueva;28609
Villamantilla;28609
Villamanta;28610
Aldea del Fresno;28620
Villa del Prado;28630
Móstoles;28635
Cadalso de los Vidrios;28640
Cadalso de los Vidrios;28648
Rozas de Puerto Real;28649
Cenicientos;28650
Boadilla del Monte;28660
Villaviciosa de Odón;28670
San Martín de Valdeiglesias;28680
Brunete;28690
Villanueva de la Ca?ada;28691
Villanueva de la Ca?ada;28692
Quijorna;28693
Chapinería;28694
Navas del Rey;28695
Pelayos de la Presa;28696
San Sebastián de los Reyes;28700
San Sebastián de los Reyes;28701
San Sebastián de los Reyes;28702
San Sebastián de los Reyes;28703
San Sebastián de los Reyes;28706
Colmenar Viejo;28707
San Sebastián de los Reyes;28707
San Sebastián de los Reyes;28708
San Sebastián de los Reyes;28709
Bustarviejo;28720
Redue?a;28721
Cabanillas de la Sierra;28721
El Vellón;28722
Pedrezuela;28723
Valdemanco;28729
Venturada;28729
Navalafuente;28729
Buitrago del Lozoya;28730
Pi?uécar-Gandullas;28737
La Serna del Monte;28737
Gascones;28737
Braojos;28737
Gargantilla del Lozoya y Pinilla de Buitrago;28739
Garganta de los Montes;28739
Navarredonda y San Mamés;28739
Villavieja del Lozoya;28739
Rascafría;28740
Alameda del Valle;28742
Lozoya;28742
Canencia;28743
Garganta de los Montes;28743
Rascafría;28749
Pinilla del Valle;28749
Colmenar Viejo;28750
San Agustín del Guadalix;28750
San Lorenzo de El Escorial;28750
La Cabrera;28751
Lozoyuela-Navas-Sieteiglesias;28752
Lozoyuela-Navas-Sieteiglesias;28753
Lozoyuela-Navas-Sieteiglesias;28754
Puentes Viejas;28754
La Acebeda;28755
Horcajo de la Sierra-Aoslos;28755
Madarcos;28755
Robregordo;28755
Somosierra;28756
Tres Cantos;28760
Tres Cantos;28761
Colmenar Viejo;28770
Soto del Real;28791
Miraflores de la Sierra;28792
Guadalix de la Sierra;28794
Alcalá de Henares;28801
Alcalá de Henares;28802
Alcalá de Henares;28803
Alcalá de Henares;28804
Alcalá de Henares;28805
Alcalá de Henares;28806
Alcalá de Henares;28807
El Álamo;28807
Villalbilla;28810
Corpa;28811
Valverde de Alcalá;28812
Pezuela de las Torres;28812
Pozuelo del Rey;28813
Torres de la Alameda;28813
Daganzo de Arriba;28814
Fresno de Torote;28815
Ribatejada;28815
Camarma de Esteruelas;28816
Valdeavero;28816
Los Santos de la Humosa;28817
Anchuelo;28818
Santorcaz;28818
Coslada;28820
Coslada;28821
Coslada;28822
Coslada;28823
San Fernando de Henares;28830
Mejorada del Campo;28840
Torrejón de Ardoz;28850
Paracuellos de Jarama;28860
Paracuellos de Jarama;28861
Paracuellos de Jarama;28862
Cobe?a;28863
Ajalvir;28864
Meco;28880
Loeches;28890
Velilla de San Antonio;28891
Getafe;28901
Getafe;28902
Getafe;28903
Getafe;28904
Getafe;28905
Getafe;28906
Getafe;28907
Getafe;28909
Leganés;28911
Leganés;28912
Leganés;28913
Leganés;28914
Leganés;28915
Leganés;28916
Leganés;28917
Leganés;28918
Leganés;28919
Alcorcón;28921
Alcorcón;28922
Alcorcón;28923
Alcorcón;28924
Alcorcón;28925
Móstoles;28931
Móstoles;28932
Móstoles;28933
Móstoles;28934
Móstoles;28935
Móstoles;28936
Móstoles;28937
Móstoles;28938
Arroyomolinos;28939
Batres;28939
Fuenlabrada;28941
Fuenlabrada;28942
Fuenlabrada;28943
Fuenlabrada;28944
Fuenlabrada;28945
Fuenlabrada;28946
Fuenlabrada;28947
Moraleja de Enmedio;28950
Navalagamella;28954
Humanes de Madrid;28970
Gri?ón;28971
Batres;28976
Casarrubuelos;28977
Cubas de la Sagra;28978
Serranillos del Valle;28979
Parla;28980
Parla;28981
Parla;28982
Parla;28983
Parla;28984
Torrejón de Velasco;28990
Torrejón de la Calzada;28991
