,id,address,name,total_bases,longitude,latitude,postal_code
0,1,Puerta del Sol nº 1,Puerta del Sol A,30,-3.7018341,40.4172137,28014
1,2,Puerta del Sol nº 1,Puerta del Sol B,30,-3.701602938060457,40.41731271011562,28014
2,3,Calle Miguel Moya nº 1,Miguel Moya,24,-3.7058415,40.4205886,28004
3,4,Plaza del Conde del Valle de Súchil nº 3,Plaza Conde Suchil,18,-3.7069171,40.4302937,28001
4,5,Calle Manuela Malasaña nº 5,Malasaña,24,-3.7025875,40.4285524,28004
5,6,Calle Fuencarral nº 108,Fuencarral,27,-3.70205,40.42852,28004
6,7,Calle Hortaleza nº 63,Colegio Arquitectos,24,-3.6984470,40.4241480,28004
7,8,Calle Hortaleza nº 75,Hortaleza,21,-3.6977715,40.4251906,28004
8,9,Plaza de Alonso Martínez nº 5,Alonso Martínez,24,-3.6954403,40.4278682,28001
9,10,Plaza de San Miguel nº 9,Plaza de San Miguel,24,-3.7095084,40.4156057,28005
10,11,Calle Marqués de la Ensenada nº 16,Marqués de la Ensenada,24,-3.69214,40.42533,28004
11,12,Calle San Andrés nº 18,San Andrés,24,-3.7035918,40.4269483,28004
12,13,Calle San Bernardo nº 85,San Hermenegildo,24,-3.7061931,40.4284246,28015
13,14,Calle Conde Duque nº 22,Conde Duque,24,-3.7104417,40.4273264,28015
14,15,Calle Duque de Liria,Ventura Rodríguez,24,-3.7134790,40.4260957,28001
15,16,Calle San Vicente Ferrer nº 64,San Vicente Ferrer,21,-3.7074453,40.4262383,28015
16,17,Calle San Bernardo nº 22,San Bernardo,21,-3.7075065,40.4230721,28015
17,18,Plaza de Carlos Cambronero nº 2,Carlos Cambronero,24,-3.7038312,40.4232649,28004
18,19,Plaza de Pedro Zerolo nº 1,Plaza de Pedro Zerolo,24,-3.6996502,40.4207773,28001
19,20,Calle Prim nº 2,Prim,24,-3.6954983,40.4218616,28004
20,21,Calle Alcalá nº 49,Banco de España A,30,-3.6954615,40.4192342,28004
21,25,Calle Jacometrezo nº 3,Jacometrezo,24,-3.7065376,40.4200783,28001
22,26,Plaza de Santo Domingo nº 1,Santo Domingo,24,-3.7081246,40.4202834,28013
