,date,weekday,day_x,hour,time,month,rides,holiday,datetime,year,is_holiday,is_weekend
0,2018-12-31,Monday,31,23,23:00:00,12,176,no festivo,2018-12-31 23:00:00,2018,0,0
1,2019-01-02,Wednesday,2,0,00:00:00,1,52,no festivo,2019-01-02 00:00:00,2019,0,0
2,2019-01-02,Wednesday,2,1,01:00:00,1,29,no festivo,2019-01-02 01:00:00,2019,0,0
3,2019-01-02,Wednesday,2,2,02:00:00,1,32,no festivo,2019-01-02 02:00:00,2019,0,0
4,2019-01-02,Wednesday,2,3,03:00:00,1,23,no festivo,2019-01-02 03:00:00,2019,0,0
5,2019-01-02,Wednesday,2,4,04:00:00,1,28,no festivo,2019-01-02 04:00:00,2019,0,0
6,2019-01-02,Wednesday,2,5,05:00:00,1,53,no festivo,2019-01-02 05:00:00,2019,0,0
7,2019-01-02,Wednesday,2,6,06:00:00,1,160,no festivo,2019-01-02 06:00:00,2019,0,0
8,2019-01-02,Wednesday,2,7,07:00:00,1,349,no festivo,2019-01-02 07:00:00,2019,0,0
9,2019-01-02,Wednesday,2,8,08:00:00,1,376,no festivo,2019-01-02 08:00:00,2019,0,0
10,2019-01-02,Wednesday,2,9,09:00:00,1,248,no festivo,2019-01-02 09:00:00,2019,0,0
11,2019-01-02,Wednesday,2,10,10:00:00,1,235,no festivo,2019-01-02 10:00:00,2019,0,0
12,2019-01-02,Wednesday,2,11,11:00:00,1,306,no festivo,2019-01-02 11:00:00,2019,0,0
13,2019-01-02,Wednesday,2,12,12:00:00,1,310,no festivo,2019-01-02 12:00:00,2019,0,0
14,2019-01-02,Wednesday,2,13,13:00:00,1,520,no festivo,2019-01-02 13:00:00,2019,0,0
15,2019-01-02,Wednesday,2,14,14:00:00,1,429,no festivo,2019-01-02 14:00:00,2019,0,0
16,2019-01-02,Wednesday,2,15,15:00:00,1,423,no festivo,2019-01-02 15:00:00,2019,0,0
17,2019-01-02,Wednesday,2,16,16:00:00,1,484,no festivo,2019-01-02 16:00:00,2019,0,0
18,2019-01-02,Wednesday,2,17,17:00:00,1,584,no festivo,2019-01-02 17:00:00,2019,0,0
19,2019-01-02,Wednesday,2,18,18:00:00,1,533,no festivo,2019-01-02 18:00:00,2019,0,0
20,2019-01-02,Wednesday,2,19,19:00:00,1,432,no festivo,2019-01-02 19:00:00,2019,0,0
21,2019-01-02,Wednesday,2,20,20:00:00,1,360,no festivo,2019-01-02 20:00:00,2019,0,0
22,2019-01-02,Wednesday,2,21,21:00:00,1,234,no festivo,2019-01-02 21:00:00,2019,0,0
